#separator:tab
#html:true
"<div><div>12</div></div></br>
</hr>
"	"<div><div>열둘</div></div>
[anki:tts lang=ko_KR speed=0.8]<div><div>열둘</div></div>[/anki:tts]
"
"<div><div>열셋</div></div>
[anki:tts lang=ko_KR speed=0.6]<div><div>열셋</div></div>[/anki:tts]

"	13
"13</br>
</hr>
"	"<div><div>열셋</div></div>
[anki:tts lang=ko_KR speed=0.8]<div><div>열셋</div></div>[/anki:tts]
"
"<div><div>열넷</div></div>
[anki:tts lang=ko_KR speed=0.6]<div><div>열넷</div></div>[/anki:tts]

"	14
"14</br>
</hr>
"	"<div><div>열넷</div></div>
[anki:tts lang=ko_KR speed=0.8]<div><div>열넷</div></div>[/anki:tts]
"
"<div><div>열다섯</div></div>
[anki:tts lang=ko_KR speed=0.6]<div><div>열다섯</div></div>[/anki:tts]

"	15
"15</br>
</hr>
"	"<div><div>열다섯</div></div>
[anki:tts lang=ko_KR speed=0.8]<div><div>열다섯</div></div>[/anki:tts]
"
"<div><div>열여섯</div></div>
[anki:tts lang=ko_KR speed=0.6]<div><div>열여섯</div></div>[/anki:tts]

"	16
"16</br>
</hr>
"	"<div><div>열여섯</div></div>
[anki:tts lang=ko_KR speed=0.8]<div><div>열여섯</div></div>[/anki:tts]
"
"<div><div>열일곱</div></div>
[anki:tts lang=ko_KR speed=0.6]<div><div>열일곱</div></div>[/anki:tts]

"	17
"17</br>
</hr>
"	"<div><div>열일곱</div></div>
[anki:tts lang=ko_KR speed=0.8]<div><div>열일곱</div></div>[/anki:tts]
"
"<div><div>열여덟</div></div>
[anki:tts lang=ko_KR speed=0.6]<div><div>열여덟</div></div>[/anki:tts]

"	18
"18</br>
</hr>
"	"<div><div>열여덟</div></div>
[anki:tts lang=ko_KR speed=0.8]<div><div>열여덟</div></div>[/anki:tts]
"
"<div><div>열아홉</div></div>
[anki:tts lang=ko_KR speed=0.6]<div><div>열아홉</div></div>[/anki:tts]

"	19
"19</br>
</hr>
"	"<div><div>열아홉</div></div>
[anki:tts lang=ko_KR speed=0.8]<div><div>열아홉</div></div>[/anki:tts]
"
"<div><div>스물</div></div>
[anki:tts lang=ko_KR speed=0.6]<div><div>스물</div></div>[/anki:tts]

"	20
"20</br>
</hr>
"	"<div><div>스물</div></div>
[anki:tts lang=ko_KR speed=0.8]<div><div>스물</div></div>[/anki:tts]
"
"<div><div>서른</div></div>
[anki:tts lang=ko_KR speed=0.6]<div><div>서른</div></div>[/anki:tts]

"	30
"30</br>
</hr>
"	"<div><div>서른</div></div>
[anki:tts lang=ko_KR speed=0.8]<div><div>서른</div></div>[/anki:tts]
"
"<div><div>마흔</div></div>
[anki:tts lang=ko_KR speed=0.6]<div><div>마흔</div></div>[/anki:tts]

"	40
"40</br>
</hr>
"	"<div><div>마흔</div></div>
[anki:tts lang=ko_KR speed=0.8]<div><div>마흔</div></div>[/anki:tts]
"
"<div><div>쉰</div></div>
[anki:tts lang=ko_KR speed=0.6]<div><div>쉰</div></div>[/anki:tts]

"	50
"50</br>
</hr>
"	"<div><div>쉰</div></div>
[anki:tts lang=ko_KR speed=0.8]<div><div>쉰</div></div>[/anki:tts]
"
"<div><div>예순</div></div>
[anki:tts lang=ko_KR speed=0.6]<div><div>예순</div></div>[/anki:tts]

"	60
"60</br>
</hr>
"	"<div><div>예순</div></div>
[anki:tts lang=ko_KR speed=0.8]<div><div>예순</div></div>[/anki:tts]
"
"<div><div>일흔</div></div>
[anki:tts lang=ko_KR speed=0.6]<div><div>일흔</div></div>[/anki:tts]

"	70
"70</br>
</hr>
"	"<div><div>일흔</div></div>
[anki:tts lang=ko_KR speed=0.8]<div><div>일흔</div></div>[/anki:tts]
"
"<div><div>여든</div></div>
[anki:tts lang=ko_KR speed=0.6]<div><div>여든</div></div>[/anki:tts]

"	80
"80</br>
</hr>
"	"<div><div>여든</div></div>
[anki:tts lang=ko_KR speed=0.8]<div><div>여든</div></div>[/anki:tts]
"
"<div><div>아흔</div></div>
[anki:tts lang=ko_KR speed=0.6]<div><div>아흔</div></div>[/anki:tts]

"	90
"90</br>
</hr>
"	"<div><div>아흔</div></div>
[anki:tts lang=ko_KR speed=0.8]<div><div>아흔</div></div>[/anki:tts]
"
"원
[anki:tts lang=ko_KR speed=0.6]원[/anki:tts]

"	Вона <br>(название корейской валюты)
"Вона <br>(название корейской валюты)</br>
</hr>
"	"원
[anki:tts lang=ko_KR speed=0.8]원[/anki:tts]
"
"-의
[anki:tts lang=ko_KR speed=0.6]-의[/anki:tts]

"	Окончание притяжательного падежа <br><i>читается как</i> [ㅔ]
"Окончание притяжательного падежа <br><i>читается как</i> [ㅔ]</br>
</hr>
"	"-의
[anki:tts lang=ko_KR speed=0.8]-의[/anki:tts]
"
"돈
[anki:tts lang=ko_KR speed=0.6]돈[/anki:tts]

"	Деньги
"Деньги</br>
</hr>
"	"돈
[anki:tts lang=ko_KR speed=0.8]돈[/anki:tts]
"
"친구의 돈
[anki:tts lang=ko_KR speed=0.6]친구의 돈[/anki:tts]

"	Деньги друга
"Деньги друга</br>
</hr>
"	"친구의 돈
[anki:tts lang=ko_KR speed=0.8]친구의 돈[/anki:tts]
"
"형
[anki:tts lang=ko_KR speed=0.6]형[/anki:tts]

"	старший брат<br>(<i>для брата</i>)
"старший брат<br>(<i>для брата</i>)</br>
</hr>
"	"형
[anki:tts lang=ko_KR speed=0.8]형[/anki:tts]
"
"형의 사진
[anki:tts lang=ko_KR speed=0.6]형의 사진[/anki:tts]

"	Фотография (старшего) брата
"Фотография (старшего) брата</br>
</hr>
"	"형의 사진
[anki:tts lang=ko_KR speed=0.8]형의 사진[/anki:tts]
"
"휴대폰
[anki:tts lang=ko_KR speed=0.6]휴대폰[/anki:tts]

"	Мобильный телефон
"Мобильный телефон</br>
</hr>
"	"휴대폰
[anki:tts lang=ko_KR speed=0.8]휴대폰[/anki:tts]
"
"있다
[anki:tts lang=ko_KR speed=0.6]있다[/anki:tts]

"	находиться; оставаться; пребывать; иметь место; происходить<br>
"находиться; оставаться; пребывать; иметь место; происходить<br></br>
</hr>
"	"있다
[anki:tts lang=ko_KR speed=0.8]있다[/anki:tts]
"
"휴대폰이 있습니다.
[anki:tts lang=ko_KR speed=0.6]휴대폰이 있습니다.[/anki:tts]

"	<i>у меня</i> есть / имеется мобильный телефон
"<i>у меня</i> есть / имеется мобильный телефон</br>
</hr>
"	"휴대폰이 있습니다.
[anki:tts lang=ko_KR speed=0.8]휴대폰이 있습니다.[/anki:tts]
"
"사진이 있습니까?
[anki:tts lang=ko_KR speed=0.6]사진이 있습니까?[/anki:tts]

"	<i>у вас</i> есть фотография?
"<i>у вас</i> есть фотография?</br>
</hr>
"	"사진이 있습니까?
[anki:tts lang=ko_KR speed=0.8]사진이 있습니까?[/anki:tts]
"
"왜?
[anki:tts lang=ko_KR speed=0.6]왜?[/anki:tts]

"	Почему?
"Почему?</br>
</hr>
"	"왜?
[anki:tts lang=ko_KR speed=0.8]왜?[/anki:tts]
"
"어떻게
[anki:tts lang=ko_KR speed=0.6]어떻게[/anki:tts]

"	как?
"как?</br>
</hr>
"	"어떻게
[anki:tts lang=ko_KR speed=0.8]어떻게[/anki:tts]
"
"안녕히 계세요!
[anki:tts lang=ko_KR speed=0.6]안녕히 계세요![/anki:tts]

"	До свидания!<br>(букв. <i>Спокойно оставаться</i>)
"До свидания!<br>(букв. <i>Спокойно оставаться</i>)</br>
</hr>
"	"안녕히 계세요!
[anki:tts lang=ko_KR speed=0.8]안녕히 계세요![/anki:tts]
"
"없다&nbsp;
[anki:tts lang=ko_KR speed=0.6]없다&nbsp;[/anki:tts]

"	не существует; не имеется; отсутствует в наличии
